생활지역권,남자20대이하,남자30대,남자40대,남자50대,남자60대,여자20대이하,여자30대,여자40대,여자50대,여자60대
노량진,11.186479953036155,5.804087855840091,4.554909069312888,3.9294434720940323,2.584259161429428,10.409156419412364,4.854047141931559,4.207942179419089,4.041753191956083,3.303030436186505
노원,9.00193735657253,3.515491376090543,3.722414468933113,3.7564703959582566,2.679148800634202,9.630944915066282,3.8864425125041753,4.433640930575972,4.902038432645015,3.438243295635621
당산,5.909851010316565,4.659211830855412,3.750259838046207,2.7714100686746703,1.598804747428539,6.955271947423383,4.744636682500507,3.0550763428799033,2.5460307502352593,1.7480318254309515
대림,3.9670812835923286,3.6492353011559264,3.5463505016864345,3.9227409875108843,2.5288487091118808,4.287885393517268,3.418382599511036,2.905682708704545,3.57882566031018,2.7416639509727347
대치.도곡,22.854045035056753,7.1722014887295735,10.283571144489086,7.850193932730107,4.0125215085337835,22.102552082428872,7.6774761432656975,11.77457149378102,7.466598756827016,5.035038561956852
대학,8.399011368358925,4.643037271601187,3.5880290292934647,2.8857973759935445,1.830853474581722,6.654319662252818,2.918842009919446,2.2583125658245464,2.488493017869653,2.227376850291089
도봉,2.8580387395340483,1.3188142129533,1.6047106418463508,1.7509020279238035,1.5673773517805485,2.498394586009106,1.3417839976030204,1.5627222941415748,1.9597951651981556,1.9001702055024612
독산,5.929506612446015,4.984084890590672,4.271595786639026,3.992482313712959,2.8389364323434756,6.095908989617676,4.332306831985462,3.3950214392420577,4.111567387785205,3.1287401611626717
마곡,8.292363549794961,6.10001052242535,5.327781411687632,3.831586434948779,2.7206328076009236,9.522263768844239,5.998707972070002,4.499044745201625,3.955578487377103,3.1304745737927226
마들,6.943228973490931,2.884197164432397,3.024568122048714,3.0896163811562434,2.411529252796253,6.701932161187333,3.446224114538739,3.7402314845073867,3.9190580812105984,3.4362715659262846
마장.용답,7.369268963277424,3.1227966538100436,2.9202901531645686,2.739050478751052,1.684409905066133,7.3681213757663,2.977142262151926,2.4517964701313772,2.4601646763715532,1.8234015448445564
면목,10.212175699496036,5.819407887294918,6.021349279962021,6.342675441067823,4.626994264488412,10.110132121285565,5.920417713325811,6.034312336835562,6.971393183957377,5.741268759604361
명일.고덕,9.055868078854955,2.9224533149983074,4.049452830577059,3.3590448236951964,2.4954145865320503,8.094306464840853,3.581994699698996,4.6155962168227385,3.7745724272433514,3.1705627194409587
목동1,6.216672723309197,2.7594449509596957,2.7202316676700704,2.659702577389019,1.7382862504324101,5.692940422886071,3.289399969888242,3.2235339918642416,3.177336501653342,2.373763222715464
목동2,17.662330305313734,4.418791472456871,7.5827224557945145,5.942140499999255,3.5493078634760296,17.236373945595215,5.573570340696025,9.529793534764387,6.662336581788423,4.386627989819561
문정,11.604033686151345,7.318338162646094,7.129136964169344,5.04182514497269,3.313104346389686,11.590136388626718,7.594287016652376,6.558275120561384,5.520223644501498,4.102128979873176
미아,5.21085315544716,2.4363641916334666,2.809795463981961,3.0644644673367014,2.2854906836875486,5.231895588685197,2.5099141449761366,2.8092372163056276,3.4353260230223213,3.0149407480390518
반포,14.381295209434084,7.079537184219063,9.212682704752046,6.490398362602147,3.407691501848347,16.19313621350148,8.058906450588298,9.626870690961658,6.336894603546479,4.432567183719844
발산,9.081236092750244,3.592939730155677,4.3366077428095045,3.266290772556505,2.3083714190684317,9.391075079485873,3.957620133366337,4.783998472190583,3.720011150190088,3.1027950957090624
방배,9.778444234316202,4.973367103217069,5.699513271669134,4.812655751407957,3.1926948159662984,11.07713664092492,5.629782478414896,6.100982101969094,5.301988476076218,4.090997636338377
방학,4.792101697604856,2.077802077864865,2.4305590840920503,2.642479047620053,2.2225537158237487,4.291853042162059,1.9998997851993696,2.6085045285979764,3.2140880274494736,2.8016258723777963
번동,2.245192818515749,0.9913432577654371,1.2329751057470233,1.2853366725849649,0.9983540481231373,2.1675267026923954,0.9839533671860597,1.3841972433828547,1.4485248784159657,1.3949769191906292
봉천,10.853414768033687,5.931002722295442,5.106373380446076,3.8189392101249915,2.7491337750241738,11.948972319322479,5.756065038076403,4.659887979621985,4.438384671640144,3.75810462915211
불광,7.185942626776722,3.89928891958294,3.825167997762834,3.802143319821617,2.943018422538921,7.26133271701912,4.207718118096319,4.347946401526278,4.907754560248364,4.032060745082276
사당,8.388777157744563,5.095745243378339,4.680185566316971,3.884404427545124,3.078852829943514,9.076419279622451,5.488898748509972,4.66544701839366,4.609362379674043,4.166848673191494
삼각산,6.894383617306438,2.992179438313977,3.9329004586852694,3.7416445667544025,2.7336008374388907,7.523359391417912,3.365805715992666,4.434930604430815,4.316046221067168,3.449175047171373
삼성,5.646837587448367,4.930751929157421,4.933848689703731,2.9665835265776295,1.3544507386432516,6.510284140440391,4.5182133609700585,3.9840713652213395,2.5001831438845348,1.5755493242098464
상계,3.4193528318489075,1.40845893128422,1.822498055809481,2.069583908859661,1.693147182761898,3.4853724975567295,1.4727265878678615,2.020485602054977,2.4788858645952305,2.2129416654586724
상도,10.699723015087658,4.878381383317001,4.747612781368928,3.7746860271098774,2.9650644262641603,10.653122017770526,5.365469520282315,5.002944191379929,4.900242090284402,4.234239486325416
상암,4.035548668322279,2.6007300876318262,3.028259893144302,1.9493591508048806,1.010331389609381,4.353018284408577,2.445629823806922,2.5003533703044716,1.5812374142676677,1.0430723389692806
서초,16.04092587773304,10.311064596153628,10.805672347008278,7.353922252472189,4.017953759584454,17.942935276186482,10.183857162639978,8.801013349108688,6.398832001449129,4.094457361642806
석촌,7.35052512928081,5.317099027788803,4.576674614976938,3.787017044950503,2.6189808617684984,8.13747354809354,5.9267221744901475,4.619244746951895,4.149820291057574,3.3776810117519087
성북.동선,14.239647807851574,5.285509067836837,5.091472334774624,4.774947731975759,3.1107144137351184,16.751518441898995,5.677030670201887,5.629797086196057,5.4424324845532155,3.898941412739083
성산,7.514555898347509,4.786418514714324,4.84611549485187,3.492229897262611,2.153229169942526,9.105228871805892,5.816715400237112,5.0671277640295935,3.9787917438918075,2.807336950049192
성수,8.284323365739073,6.503350724992598,5.549304903400414,4.628190494227791,2.844550332519846,9.849705634841982,5.972778716089658,4.087033462721983,4.003799958476254,2.737506877492292
소공.회현,4.201586797857068,5.144014529549601,5.170999770811465,3.501656932223556,1.7419496517369062,5.778850582166283,4.295664397943241,3.352517798499654,2.564961661697152,1.5360485946060791
송파,10.753650028666579,5.839163812266854,4.795818727617916,3.77250768154979,2.6504594320782915,11.901810332251697,6.142574835201273,5.034603403110434,4.501214738807444,3.493040800505529
수색,5.083445766225849,2.7169776814876982,2.9542682763658825,2.7929550141205453,2.112951322278722,5.083615894945667,3.093198489994004,3.0463328136524397,3.11863954725915,2.6634982836412475
수서.세곡,8.906640497637328,3.4662890875107437,4.492499080527807,3.525956266218138,2.665470297110911,8.262099493074707,3.9536758698733863,4.70941168491552,3.7753119164780737,3.612647516343339
수유,9.295783883028806,4.618873878529393,5.0973541537736855,5.277471101203889,3.8180118591260617,9.700218432744784,4.569097076690686,5.069732720239088,6.004404897260616,5.153965057072154
시흥,6.306181012195569,3.3941098196088038,3.857476261505709,3.724911461799877,2.8850712694574607,6.709948467684728,3.4047447578054197,3.783818044420204,4.01405908346478,3.6360536118391455
신길,6.532912092170673,3.9102815748132786,4.120904642789225,3.6468426691676736,2.485642677904579,7.053820659752506,4.220945585819408,3.8365176459262145,3.960012845393628,3.1492934055097783
신내.망우,7.216102898144366,3.4060406807196846,4.009880373469023,4.096833489314494,3.2117404350088106,7.779156137485149,3.9061289753985364,3.969014222147019,4.903200956640085,3.7994449133434407
신당.황학,6.792315100797082,5.41560219414153,4.980236057285752,4.404814769918382,3.0498199919097737,8.039788178864233,5.921876036774274,4.899778234358213,4.784136532067191,3.753467102950639
신대방,3.4066065003495463,1.871661667790572,1.9970371868044385,1.686113448291365,1.0639905557573826,3.66577389208302,1.9762556487188558,2.0036863041736743,1.7148165018481454,1.4006236418599833
신림,9.304176223186554,6.240551630430069,3.928793057882116,3.000502334308786,2.048629333325423,9.872977864354347,4.961188360466933,3.295336058254556,3.170219083925629,2.6932455645815128
신월1,3.196471955661798,1.8055142506680546,1.8395696733408473,1.948178891304259,1.5552613095762684,2.861124979947562,1.6627445786458432,1.7760162469442315,1.9087565899461423,1.818383729885548
신월2,4.311253563346672,2.1341367827594833,2.4096689190861142,2.1142515706342047,1.7693370069508934,4.244600982455601,2.3201608254677524,2.491553251779834,2.4696535916728024,2.3359244919844184
신정,8.74172755938406,3.419808944668706,4.493226766352747,3.93793413477002,2.652704525989359,8.783148147773522,3.912292872497245,4.921643409115683,4.361603452402229,3.4118269551472635
신촌,10.001238039308033,4.374426580002278,3.2386941892907344,2.7307850870876464,1.6197072558985977,14.221381180907287,4.6058008704804045,3.2770317233709476,3.036505547151229,1.9712142336606597
쌍문,4.339418423686568,1.6575620597092555,1.9915464956167355,1.9388266158848728,1.7107761465557092,4.282994942970667,1.9543315619571444,2.2663892686235383,2.5898979078920195,2.378009336049495
아현,8.280333934703343,5.069849800230472,4.97949072911668,3.855468780285253,2.3425931816269325,10.59871298269676,6.041159602217287,5.1592995818267395,4.127404175354954,2.9203441271432253
암사,5.524796143727151,2.7760164257422875,3.1259400302938247,2.4904823207854316,2.0105810316955472,4.909021150079941,3.1377926953029305,3.24793050266031,2.9567990278225325,2.474378606441386
압구정.청담,10.947628199210806,7.630126987060791,7.504881997085396,4.97397629420501,2.6591967617982273,14.797169025576828,8.577732798981474,6.790485518073781,4.559969495905831,3.191903566968761
양재,9.358270704658073,5.905478575666731,6.647362189882661,4.648287513648229,3.0586602966233927,8.775717180686682,5.603857018249951,5.3648221994185965,4.255851265390031,3.5721530379119883
여의도,6.200241866220214,6.038527118023436,5.3202526868681534,3.284643983815757,1.562526715546657,8.088462974176055,4.930434630290509,3.5827556865469425,2.4798471740276766,1.7107798302538928
역삼.논현 ,20.284108219040505,17.64603678377748,15.474492900056354,8.570686166541671,3.967157163645803,24.224180808294392,15.823432144561357,11.27554911125983,6.729018618683917,4.680369045606393
연신내,10.196481328176278,4.584653838812215,5.437499887831741,4.80107098407603,3.556288324156629,11.064226857652722,5.3322131077846,5.897363457945563,6.050674594317317,4.756276907692528
염창,5.923691654876536,4.705143859934464,4.004081711995011,2.9270335747148786,2.4019801500640074,6.365936078456542,5.248644063469233,3.73964824857122,3.260412928416061,2.8575575663306974
영등포,13.356240493712514,10.92155004885612,8.974872538476786,7.214618808259625,4.438034573588529,14.928804987249336,10.676672663681416,7.489571107822417,6.5211451322248175,4.925158535600218
오류.수궁,8.328617724656773,4.3115769132339175,4.539943916435926,3.5576194451926497,2.711954434478393,8.86516564327501,4.569884421987738,4.490145515788783,4.093811582207124,3.501667676487804
왕십리.행당 ,8.547428728494992,4.67516746259948,4.627960139742565,3.9692858153044384,2.514905838472801,9.966728998296388,5.580152987921163,4.896906244231652,4.388287203702976,3.180333404866628
용강,6.0264965432700395,3.8663077682743494,3.802610977719008,3.0490429965369574,1.8838416904787456,6.3751891204331494,3.9434803255618767,4.000607253874477,3.0691373632943972,2.169554391231302
월계,6.752572684713171,2.690066683180852,3.2559670910857057,2.9214795390038906,2.3397509085760895,6.019564440454412,2.884515584904039,3.152129309334336,3.2675953679144594,2.9862881191306534
응암,8.222848356638828,4.660189422646353,5.0046954802251795,4.033226899995742,2.920403777563172,8.384651340744021,5.592871892999313,5.42916277937164,4.920799797646047,4.183456745225747
이문.휘경.회기 ,11.104807298844193,3.7127070605017383,3.692828319376522,3.448629121797605,2.3505529328894634,13.586843783969536,3.6092345227289093,3.5494878876037697,3.5582961413623715,2.878911866562578
이촌.한강,7.9504842061174505,5.813361620548183,5.672599975671779,4.357008519072917,2.6691804782104036,8.435453559276299,6.074564234793056,5.082208496730825,4.247184700173006,2.9685106099695937
자양,9.326737204855773,5.187985473164763,4.803115294788902,4.273345272596963,3.009066796405625,10.914803581000626,5.461530185707001,4.649526523790832,4.738374394381313,3.4953040215061653
잠실1,11.46234765264279,5.338387652188747,6.470064898623153,4.449368808353719,2.9073150321780603,13.45790436005236,6.230681450617168,6.926829368171638,4.977654665685445,3.838839494441416
잠실2,9.580087884652363,4.906737071916274,5.232442707803611,4.079467479061849,3.1000004430773007,10.69029430890807,6.147478820843708,5.838744925274081,4.943326484575379,4.072589081617472
장안,5.553031166908415,3.417131539975054,3.5899215874042087,2.914763134391542,2.01639539073082,5.640217683257002,3.57258173859486,3.2412996437896715,2.8938672908038794,2.349697662647953
장위.석관,6.097905192789767,2.9395948964850613,3.213435457101573,3.166404119628067,2.4097103453938904,6.03568388504958,3.1189676707150653,3.3630901314996713,3.528398249099927,3.1270505634650774
전농.답십리,8.275360121261178,4.178759814448377,4.6135213855858,3.9939474976409204,2.8923197759243737,8.517210298090191,4.595560036736308,4.296555135324,4.344104577952833,3.603141571150902
정릉,6.633276527893886,2.5802078782135527,3.001395075187149,2.8176181153612965,2.0874025992713925,6.870982573426719,2.8729544011165764,3.407226703733205,3.0885207057134747,2.807139161008758
종암.월곡,7.070723674481312,3.0597323375151153,3.3347842928633624,3.135577399727758,2.3584382335882395,7.76123090345945,3.1788767684484402,3.4719632745995193,3.5740937494086533,2.7710983413820216
중계,9.073467796850395,1.3811935509891482,3.0633285867823283,2.780644032365727,1.5429837170183796,8.48583647010391,1.8002000405146035,4.508555969428753,3.241165771614556,1.8152383968293027
중곡,6.046958513585668,3.762658724880447,3.2679933334163302,3.5226554195763136,2.3961122087943334,6.297463009512609,3.9536822751589464,3.4193501302343257,3.8897645476963976,3.178028186104688
중화.묵동,11.073741107753213,6.142373037692955,5.958579413510442,6.204183312826367,4.4935049399267735,11.204822840558778,6.548350434722349,6.047127361798595,6.864930829907462,5.801246515297676
진관,6.5385672338258845,2.1524924076567373,3.0435260881476913,2.488576321726953,1.756591201267048,6.6335356369857434,2.931468252181364,3.744391568263047,2.8389788272273715,2.1601973040468665
창동,6.401449301014202,2.976495328781907,3.4045227810298435,3.3003455343860426,2.6087584885165103,6.396845728063159,3.306879713665122,3.7686221559312614,4.125842001104869,3.215033548568202
창신.숭인,2.714830581222376,1.984710357713425,2.007310088317695,2.523699037761206,1.7403571743348856,3.402762867580529,1.9414224136013665,1.9456960143466036,2.633453431236823,1.880616334794188
천호.성내,17.10053629355143,9.680304961742308,9.931790050677353,8.57354066644372,6.589530288908466,16.534466814098728,10.303032212463593,9.76428781224827,9.873526145347517,8.627279100646446
청량리,7.189770596485778,3.811412078015928,3.830697932669731,4.044408493192525,3.1882302344290063,7.344715342183885,3.636773269465799,3.2252774072503034,3.679883826157095,3.3957955341923594
청운효자.사직,5.2662954918959715,2.9446481287451056,3.4156767781622253,2.728563874009167,1.5565108988268053,5.431669574841592,3.3111705754478904,3.435608165374612,2.8135227660166446,1.9661026915979187
청파.원효,5.805276693672025,4.124857573135265,3.666556401245657,3.164473258275302,1.9320928703123608,7.6960257821665445,4.582025348162715,3.420959674092643,3.1062364824461715,2.314918556737675
초안산,4.339910262532769,2.220256347784463,2.3841389455222664,2.2892801374601737,1.7817333587800166,4.4865207521394685,2.231917170712819,2.441102858474552,2.860839204694218,2.398659198712196
충청,7.132465710512789,4.743436937474541,5.098995913729636,3.813760083248583,2.24950240375534,8.811666684233076,5.153554591599423,4.467443959720617,4.029982977440377,2.786155551451189
평창.부암,2.8145067813037827,1.0689986679789796,1.4300973721736876,1.5076759099158874,1.1240689122463572,2.897106859160116,1.343815063222813,1.8482895897082081,1.773661628329114,1.5301928617311722
필동.장충,4.547020999232342,3.8071160642976714,3.645184793850044,2.987239061182533,1.6702835858157927,5.47151980345383,3.2374689315077556,2.286489413631187,2.066813932420468,1.4099755248017427
하계,7.090134520269984,2.2864744971621525,3.1037323169327347,3.1745251666120247,2.280645656877604,6.8718567221749005,2.7129877090238357,4.064283167360441,4.061658651644625,3.020505636053685
한남,4.7300446372304075,4.1949311026639435,3.3346208391174286,2.3625030844012707,1.2890455881979372,5.5301705141143485,4.176510176223164,2.753760385919138,2.102977440011904,1.6149262676532483
합정.서교,17.31331099342334,9.907631471343691,7.275661186293046,4.419354977585409,2.3993223911092656,23.67136680847135,10.123799183076166,6.287001126724782,4.646469139252969,3.096064227409221
혜화.이화,11.881737942974588,6.904344635511887,6.664954472651129,5.844068665429851,3.564800179602076,13.9357237551841,6.086017891224558,4.872444240445765,4.608510946411413,3.166784200670026
홍제,7.35395686151205,3.4083962907742364,3.7966229369226947,3.892372384149884,2.9456745072546098,8.048982816076132,3.7318803873977036,4.3062711225915615,4.788232390204262,3.871318408042437
화곡1,7.7264859626394475,5.291821790313545,4.566447400409559,3.6858484034554344,2.8380662321941146,8.472031936507076,5.308146350106925,4.748476100709799,4.52118688864739,4.33460635621354
화곡2,5.441087220775921,3.45217399659292,3.1109071354511038,2.2558081216025627,1.9071174304180394,5.8480327484196835,3.453513565190331,3.039901502301383,2.860566620608612,2.630888939186511
화양,9.931533231513152,4.287391497176452,2.971739069437986,2.4148874157153792,1.5083190312125534,11.85420690379243,4.226772813701992,2.4834886577863893,2.3697827623208365,1.9026620445829456
후암.용산,4.0882116923361,3.395290769521791,2.847676416726628,2.258504135405764,1.560542188092308,4.724100198401879,3.3338844948561004,2.493043673729492,2.0294990561139286,1.6821470350724932
흑석,3.547990178431317,1.2400611991377926,1.3046301429469775,1.1134848694640687,0.8537173304903108,3.361077049912902,1.3451922085177237,1.2953571435308868,1.2812303974675372,1.0437462989558113
